iter	Passed	Remaining
938	3369	218
939	3372	215
940	3375	211
941	3378	208
942	3381	204
943	3385	200
944	3388	197
945	3391	193
946	3394	189
947	3398	186
948	3401	182
949	3404	179
950	3407	175
951	3410	171
952	3413	168
953	3416	164
954	3420	161
955	3423	157
956	3426	153
957	3429	150
958	3433	146
959	3436	143
960	3439	139
961	3443	136
962	3446	132
963	3449	128
964	3452	125
965	3456	121
966	3459	118
967	3463	114
968	3466	110
969	3470	107
970	3473	103
971	3476	100
972	3480	96
973	3483	92
974	3487	89
975	3490	85
976	3493	82
977	3497	78
978	3500	75
979	3504	71
980	3507	67
981	3510	64
982	3514	60
983	3517	57
984	3520	53
985	3524	50
986	3527	46
987	3530	42
988	3534	39
989	3537	35
990	3540	32
991	3544	28
992	3547	25
993	3550	21
994	3553	17
995	3556	14
996	3560	10
997	3563	7
998	3566	3
999	3569	0
